drug_id,drug_name,drug_type_quantity_amount,drug_unit_price
1,甲基苯丙胺,甲基苯丙胺1000.00元/1.8克|甲基苯丙胺1200.00元/3.84克|甲基苯丙胺800.00元/4.0克|甲基苯丙胺1200.00元/3.0克|甲基苯丙胺200.00元/0.4克,甲基苯丙胺555.56元/克|甲基苯丙胺312.50元/克|甲基苯丙胺200.00元/克|甲基苯丙胺400.00元/克|甲基苯丙胺500.00元/克
2,甲基苯丙胺,甲基苯丙胺1000.00元/5.0克,甲基苯丙胺200.00元/克
3,甲基苯丙胺,甲基苯丙胺200.00元/0.5克|甲基苯丙胺298.00元/1.0克|甲基苯丙胺3000.00元/20.0克|甲基苯丙胺1500.00元/10.0克|甲基苯丙胺300.00元/1.0克|甲基苯丙胺500.00元/2.0克|甲基苯丙胺3.00元/8.0克,甲基苯丙胺400.00元/克|甲基苯丙胺298.00元/克|甲基苯丙胺150.00元/克|甲基苯丙胺150.00元/克|甲基苯丙胺300.00元/克|甲基苯丙胺250.00元/克|甲基苯丙胺0.38元/克
4,甲基苯丙胺,甲基苯丙胺500.00元/1.0克,甲基苯丙胺500.00元/克
5,神秘毒品,xxxxxx,yyyyyy
6,甲基苯丙胺,甲基苯丙胺200.00元/0.7克,甲基苯丙胺285.71元/克
7,甲基苯丙胺,甲基苯丙胺300.00元/1.0小包,甲基苯丙胺300.00元/小包
8,甲基苯丙胺,甲基苯丙胺200.00元/0.7克|甲基苯丙胺200.00元/0.85克|甲基苯丙胺200.00元/1.61克,甲基苯丙胺285.71元/克|甲基苯丙胺235.29元/克|甲基苯丙胺124.22元/克
9,甲基苯丙胺,甲基苯丙胺400.00元/3.0小包,甲基苯丙胺133.33元/小包
10,甲基苯丙胺,甲基苯丙胺200.00元/1.0克,甲基苯丙胺200.00元/克
11,甲基苯丙胺,甲基苯丙胺198.00元/0.2克|甲基苯丙胺196.00元/0.2克,甲基苯丙胺990.00元/克|甲基苯丙胺980.00元/克
12,甲基苯丙胺,甲基苯丙胺2200.00元/20.0克|冰毒600.00元/20.0克|甲基苯丙胺1400.00元/10.0克,甲基苯丙胺110.00元/克|冰毒30.00元/克|甲基苯丙胺140.00元/克
13,甲基苯丙胺,甲基苯丙胺200.00元/0.7克|甲基苯丙胺500.00元/1.0克|甲基苯丙胺300.00元/1.0克,甲基苯丙胺285.71元/克|甲基苯丙胺500.00元/克|甲基苯丙胺300.00元/克
14,甲基苯丙胺,甲基苯丙胺1000.00元/4.0克,甲基苯丙胺250.00元/克
15,冰毒,冰毒500.00元/2.0克,冰毒250.00元/克
16,甲基苯丙胺,甲基苯丙胺250.00元/1.0克|甲基苯丙胺400.00元/2.0克,甲基苯丙胺250.00元/克|甲基苯丙胺200.00元/克
17,甲基苯丙胺,甲基苯丙胺200.00元/0.5克,甲基苯丙胺400.00元/克
18,甲基苯丙胺,甲基苯丙胺480.00元/2.0克|甲基苯丙胺800.00元/2.0克|甲基苯丙胺5.00包/11.03克,甲基苯丙胺240.00元/克|甲基苯丙胺400.00元/克|甲基苯丙胺0.45包/克
19,甲基苯丙胺,甲基苯丙胺300.00元/0.5克|甲基苯丙胺200.00元/0.5克,甲基苯丙胺600.00元/克|甲基苯丙胺400.00元/克
20,甲基苯丙胺,甲基苯丙胺500.00元/0.4克,甲基苯丙胺1250.00元/克
21,甲基苯丙胺,xxxxxx,yyyyyy
22,甲基苯丙胺,甲基苯丙胺800.00元/1.5克,甲基苯丙胺533.33元/克
23,甲基苯丙胺,甲基苯丙胺200.00元/0.485克|甲基苯丙胺100.00元/0.485克|甲基苯丙胺1000.00元/9.7克|甲基苯丙胺600.00元/0.97克,甲基苯丙胺412.37元/克|甲基苯丙胺206.19元/克|甲基苯丙胺103.09元/克|甲基苯丙胺618.56元/克
24,甲基苯丙胺,甲基苯丙胺400.00元/0.5克|甲基苯丙胺200.00元/0.5克|甲基苯丙胺400.00元/0.38克,甲基苯丙胺800.00元/克|甲基苯丙胺400.00元/克|甲基苯丙胺1052.63元/克
25,甲基苯丙胺,甲基苯丙胺300.00元/0.3克|甲基苯丙胺400.00元/0.3克,甲基苯丙胺1000.00元/克|甲基苯丙胺1333.33元/克
26,甲基苯丙胺,甲基苯丙胺300.00元/0.8克,甲基苯丙胺375.00元/克
27,神秘毒品,xxxxxx,yyyyyy
28,神秘毒品,xxxxxx,yyyyyy
29,神秘毒品,xxxxxx,yyyyyy
30,神秘毒品,xxxxxx,yyyyyy
31,海洛因,海洛因400.00元/1.0克|海洛因200.00元/0.5克,海洛因400.00元/克|海洛因400.00元/克
32,海洛因,海洛因720.00元/10.67克|海洛因1.00包/17.11克|海洛因2.00包/0.8克|海洛因100.00元/0.4克|海洛因70.00元/0.3克|海洛因720.00元/27.0小包,海洛因67.48元/克|海洛因0.06包/克|海洛因2.50包/克|海洛因250.00元/克|海洛因233.33元/克|海洛因26.67元/小包
33,神秘毒品,xxxxxx,yyyyyy
34,甲基苯丙胺,甲基苯丙胺100.00元/0.23克|甲基苯丙胺700.00元/1.0克,甲基苯丙胺434.78元/克|甲基苯丙胺700.00元/克
35,海洛因,海洛因120.00元/0.5克,海洛因240.00元/克
36,甲基苯丙胺,甲基苯丙胺1000.00元/26.3克|甲基苯丙胺400.00元/2.0克|甲基苯丙胺300.00元/1.3克|甲基苯丙胺1000.00元/5.0克|冰毒400.00元/2.0克|冰毒300.00元/1.3克|冰毒1000.00元/5.0克|甲基苯丙胺1000.00元/8.3克,甲基苯丙胺38.02元/克|甲基苯丙胺200.00元/克|甲基苯丙胺230.77元/克|甲基苯丙胺200.00元/克|冰毒200.00元/克|冰毒230.77元/克|冰毒200.00元/克|甲基苯丙胺120.48元/克
37,甲基苯丙胺,甲基苯丙胺100.00元/0.5克|甲基苯丙胺200.00元/1.0克,甲基苯丙胺200.00元/克|甲基苯丙胺200.00元/克
38,甲基苯丙胺,甲基苯丙胺100.00元/100.0克|甲基苯丙胺110.00元/50.0克|甲基苯丙胺85.00元/100.0克|冰毒10000.00元/100.0克|冰毒5200.00元/50.0克|冰毒100.00元/100.0克|冰毒100.00元/1.0袋,甲基苯丙胺1.00元/克|甲基苯丙胺2.20元/克|甲基苯丙胺0.85元/克|冰毒100.00元/克|冰毒104.00元/克|冰毒1.00元/克|冰毒100.00元/袋
39,神秘毒品,xxxxxx,yyyyyy
40,甲基苯丙胺,甲基苯丙胺1050.00元/7.0克|甲基苯丙胺1500.00元/10.5克,甲基苯丙胺150.00元/克|甲基苯丙胺142.86元/克
41,海洛因,海洛因300.00元/0.5克|海洛因500.00元/3.0克,海洛因600.00元/克|海洛因166.67元/克
42,甲基苯丙胺,甲基苯丙胺500.00元/2.0克|甲基苯丙胺300.00元/1.0克,甲基苯丙胺250.00元/克|甲基苯丙胺300.00元/克
43,神秘毒品,xxxxxx,yyyyyy
44,甲基苯丙胺,甲基苯丙胺500.00元/2.0克|甲基苯丙胺100.00元/0.5克,甲基苯丙胺250.00元/克|甲基苯丙胺200.00元/克
45,甲基苯丙胺,甲基苯丙胺200.00元/0.5克,甲基苯丙胺400.00元/克
46,冰毒,冰毒2000.00元/15.0克|冰毒130.00元/7.0克|冰毒1950.00元/14.87克|冰毒1950.00元/14.8克,冰毒133.33元/克|冰毒18.57元/克|冰毒131.14元/克|冰毒131.76元/克
47,甲基苯丙胺,甲基苯丙胺200.00元/0.4克|冰毒200.00元/0.4克,甲基苯丙胺500.00元/克|冰毒500.00元/克
48,冰毒,冰毒1.00包/49.85克,冰毒0.02包/克
49,甲基苯丙胺,甲基苯丙胺250.00元/0.7克|甲基苯丙胺200.00元/0.7克|甲基苯丙胺500.00元/1.2克,甲基苯丙胺357.14元/克|甲基苯丙胺285.71元/克|甲基苯丙胺416.67元/克
50,甲基苯丙胺,甲基苯丙胺200.00元/1.0小包,甲基苯丙胺200.00元/小包
51,甲基苯丙胺,甲基苯丙胺600.00元/1.0包,甲基苯丙胺600.00元/包
52,甲基苯丙胺,甲基苯丙胺300.00元/0.2克,甲基苯丙胺1500.00元/克
53,海洛因,海洛因50.00元/1.0包|海洛因100.00元/1.0包|海洛因100.00元/0.09克,海洛因50.00元/包|海洛因100.00元/包|海洛因1111.11元/克
54,甲基苯丙胺,甲基苯丙胺300.00元/0.7克|甲基苯丙胺200.00元/0.5克,甲基苯丙胺428.57元/克|甲基苯丙胺400.00元/克
55,甲基苯丙胺,甲基苯丙胺400.00元/1.0小包,甲基苯丙胺400.00元/小包
56,甲基苯丙胺,甲基苯丙胺200.00元/0.4克,甲基苯丙胺500.00元/克
57,甲基苯丙胺,甲基苯丙胺300.00元/0.7克,甲基苯丙胺428.57元/克
58,甲基苯丙胺,甲基苯丙胺300.00元/0.3克|甲基苯丙胺600.00元/0.6克,甲基苯丙胺1000.00元/克|甲基苯丙胺1000.00元/克
59,甲基苯丙胺,甲基苯丙胺300.00元/0.7克|甲基苯丙胺200.00元/0.5克,甲基苯丙胺428.57元/克|甲基苯丙胺400.00元/克
60,甲基苯丙胺,甲基苯丙胺300.00元/1.0克|甲基苯丙胺200.00元/1.0克,甲基苯丙胺300.00元/克|甲基苯丙胺200.00元/克
61,甲基苯丙胺,甲基苯丙胺500.00元/1.0克|甲基苯丙胺550.00元/1.0克|甲基苯丙胺450.00元/1.0克,甲基苯丙胺500.00元/克|甲基苯丙胺550.00元/克|甲基苯丙胺450.00元/克
62,甲基苯丙胺,甲基苯丙胺1400.00元/4.0克|甲基苯丙胺280.00元/0.6克|甲基苯丙胺290.00元/0.6克|甲基苯丙胺220.00元/0.4克|甲基苯丙胺200.00元/0.3克,甲基苯丙胺350.00元/克|甲基苯丙胺466.67元/克|甲基苯丙胺483.33元/克|甲基苯丙胺550.00元/克|甲基苯丙胺666.67元/克
63,甲基苯丙胺,甲基苯丙胺50.00元/0.2克,甲基苯丙胺250.00元/克
64,甲基苯丙胺,甲基苯丙胺400.00元/0.6克,甲基苯丙胺666.67元/克
65,甲基苯丙胺,甲基苯丙胺400.00元/1.0克|甲基苯丙胺800.00元/1.0克,甲基苯丙胺400.00元/克|甲基苯丙胺800.00元/克
66,甲基苯丙胺,甲基苯丙胺250.00元/266.0克,甲基苯丙胺0.94元/克
67,甲基苯丙胺,甲基苯丙胺250.00元/258.0克,甲基苯丙胺0.97元/克
68,甲基苯丙胺,甲基苯丙胺200.00元/0.4克|甲基苯丙胺100.00元/0.2克|甲基苯丙胺200.00元/0.3克|冰毒200.00元/1.0包,甲基苯丙胺500.00元/克|甲基苯丙胺500.00元/克|甲基苯丙胺666.67元/克|冰毒200.00元/包
69,甲基苯丙胺,甲基苯丙胺2400.00元/6.0克|甲基苯丙胺2400.00元/9.588克,甲基苯丙胺400.00元/克|甲基苯丙胺250.31元/克
70,海洛因,海洛因100.00元/0.1克|海洛因200.00元/0.15克|海洛因100.00元/0.15克,海洛因1000.00元/克|海洛因1333.33元/克|海洛因666.67元/克
71,甲基苯丙胺,甲基苯丙胺200.00元/0.6克,甲基苯丙胺333.33元/克
72,海洛因,海洛因200.00元/0.2克|海洛因200.00元/0.1克|海洛因400.00元/0.3克|海洛因600.00元/2.62克,海洛因1000.00元/克|海洛因2000.00元/克|海洛因1333.33元/克|海洛因229.01元/克
73,海洛因,海洛因100.00元/0.2克,海洛因500.00元/克
74,甲基苯丙胺,甲基苯丙胺300.00元/0.68克|甲基苯丙胺200.00元/0.8克,甲基苯丙胺441.18元/克|甲基苯丙胺250.00元/克
75,海洛因,海洛因100.00元/1.0克|海洛因3050.00元/5.0克|海洛因3150.00元/3.47克,海洛因100.00元/克|海洛因610.00元/克|海洛因907.78元/克
76,甲基苯丙胺,甲基苯丙胺500.00元/1.0克|甲基苯丙胺1500.00元/2.4克|海洛因500.00元/2.4克,甲基苯丙胺500.00元/克|甲基苯丙胺625.00元/克|海洛因208.33元/克
77,甲基苯丙胺,甲基苯丙胺1500.00元/4.0克|甲基苯丙胺1500.00元/5.0克|甲基苯丙胺1500.00元/7.72克,甲基苯丙胺375.00元/克|甲基苯丙胺300.00元/克|甲基苯丙胺194.30元/克
78,甲基苯丙胺,甲基苯丙胺400.00元/1.0克|甲基苯丙胺800.00元/2.0克|海洛因1200.00元/1.77克,甲基苯丙胺400.00元/克|甲基苯丙胺400.00元/克|海洛因677.97元/克
79,甲基苯丙胺,甲基苯丙胺1100.00元/0.94克,甲基苯丙胺1170.21元/克
80,甲基苯丙胺,甲基苯丙胺300.00元/1.0克|甲基苯丙胺500.00元/2.0克|甲基苯丙胺1500.00元/10.0克|冰毒100.00元/4.0克|冰毒1500.00元/10.0克|冰毒500.00元/2.0克|冰毒300.00元/10.0克,甲基苯丙胺300.00元/克|甲基苯丙胺250.00元/克|甲基苯丙胺150.00元/克|冰毒25.00元/克|冰毒150.00元/克|冰毒250.00元/克|冰毒30.00元/克
81,甲基苯丙胺,甲基苯丙胺400.00元/0.9克,甲基苯丙胺444.44元/克
82,甲基苯丙胺,甲基苯丙胺3000.00元/10.0克|甲基苯丙胺2800.00元/10.0克|甲基苯丙胺2000.00元/12.0克|甲基苯丙胺2.00包/13.29克|冰毒1500.00元/10.0克|冰毒1800.00元/10.0克|冰毒2000.00元/12.0克|甲基苯丙胺7800.00元/13.29克,甲基苯丙胺300.00元/克|甲基苯丙胺280.00元/克|甲基苯丙胺166.67元/克|甲基苯丙胺0.15包/克|冰毒150.00元/克|冰毒180.00元/克|冰毒166.67元/克|甲基苯丙胺586.91元/克
83,甲基苯丙胺,甲基苯丙胺400.00元/1.5克|甲基苯丙胺2.00包/0.76克,甲基苯丙胺266.67元/克|甲基苯丙胺2.63包/克
84,大麻,大麻200.00元/0.2克|海洛因400.00元/1.52克,大麻1000.00元/克|海洛因263.16元/克
85,甲基苯丙胺,甲基苯丙胺200.00元/0.5克|甲基苯丙胺200.00元/0.6克|甲基苯丙胺600.00元/3.94克,甲基苯丙胺400.00元/克|甲基苯丙胺333.33元/克|甲基苯丙胺152.28元/克
86,甲基苯丙胺,甲基苯丙胺200.00元/4.0克|甲基苯丙胺400.00元/3.0克,甲基苯丙胺50.00元/克|甲基苯丙胺133.33元/克
87,甲基苯丙胺,甲基苯丙胺550.00元/5.0克|甲基苯丙胺150.00元/1.0克|甲基苯丙胺700.00元/0.38克,甲基苯丙胺110.00元/克|甲基苯丙胺150.00元/克|甲基苯丙胺1842.11元/克
88,甲基苯丙胺,甲基苯丙胺5800.00元/50.0克|甲基苯丙胺600.00元/20.0克|甲基苯丙胺800.00元/50.0克,甲基苯丙胺116.00元/克|甲基苯丙胺30.00元/克|甲基苯丙胺16.00元/克
89,海洛因,海洛因150.00元/0.1克,海洛因1500.00元/克
90,甲基苯丙胺,甲基苯丙胺5000.00元/43.0克,甲基苯丙胺116.28元/克
91,甲基苯丙胺,甲基苯丙胺5000.00元/43.0克|甲基苯丙胺350.00元/0.3克,甲基苯丙胺116.28元/克|甲基苯丙胺1166.67元/克
92,海洛因,海洛因4.00包/1.47克,海洛因2.72包/克
93,海洛因,海洛因200.00元/0.15克|海洛因350.00元/0.87克|海洛因1.00包/1.0包|海洛因400.00包/2.0包|海洛因3.00包/0.07克|海洛因3.00包/3.0包,海洛因1333.33元/克|海洛因402.30元/克|海洛因1.00包/包|海洛因200.00包/包|海洛因42.86包/克|海洛因1.00包/包
94,甲基苯丙胺,甲基苯丙胺100.00元/0.4克,甲基苯丙胺250.00元/克
95,神秘毒品,xxxxxx,yyyyyy
96,甲基苯丙胺,甲基苯丙胺600.00元/35.0克,甲基苯丙胺17.14元/克
97,甲基苯丙胺,甲基苯丙胺2000.00元/0.58克|甲基苯丙胺300.00元/0.5克|甲基苯丙胺200.00元/0.5克,甲基苯丙胺3448.28元/克|甲基苯丙胺600.00元/克|甲基苯丙胺400.00元/克
98,甲基苯丙胺,甲基苯丙胺300.00元/1.0克|甲基苯丙胺100.00元/0.3克|甲基苯丙胺300.00元/0.9克|甲基苯丙胺300.00元/0.6克|冰毒300.00元/1.0克|冰毒100.00元/0.9克|冰毒300.00元/0.7克|冰毒150.00元/1.0克|冰毒100.00元/0.3克,甲基苯丙胺300.00元/克|甲基苯丙胺333.33元/克|甲基苯丙胺333.33元/克|甲基苯丙胺500.00元/克|冰毒300.00元/克|冰毒111.11元/克|冰毒428.57元/克|冰毒150.00元/克|冰毒333.33元/克
99,甲基苯丙胺,甲基苯丙胺300.00元/1.0克,甲基苯丙胺300.00元/克
100,甲基苯丙胺,甲基苯丙胺200.00元/0.6克,甲基苯丙胺333.33元/克
101,咖啡因,咖啡因3.000/306.0粒|甲基苯丙胺300.00元/0.3克|冰毒300.00元/0.3克,咖啡因0.010/粒|甲基苯丙胺1000.00元/克|冰毒1000.00元/克
102,甲基苯丙胺,甲基苯丙胺300.00元/0.7克|冰毒300.00元/1.0包|冰毒300.00元/1.0小包,甲基苯丙胺428.57元/克|冰毒300.00元/包|冰毒300.00元/小包
103,冰毒,冰毒200.00元/0.2克|甲基苯丙胺200.00元/0.5克|甲基苯丙胺200.00元/0.2克,冰毒1000.00元/克|甲基苯丙胺400.00元/克|甲基苯丙胺1000.00元/克
104,甲基苯丙胺,甲基苯丙胺1000.00元/4.56克|甲基苯丙胺300.00元/0.5克,甲基苯丙胺219.30元/克|甲基苯丙胺600.00元/克
105,甲基苯丙胺,甲基苯丙胺200.00元/0.5克|甲基苯丙胺200.00元/0.3克|冰毒400.00元/1.0克|冰毒200.00元/0.5克|冰毒200.00元/0.3克,甲基苯丙胺400.00元/克|甲基苯丙胺666.67元/克|冰毒400.00元/克|冰毒400.00元/克|冰毒666.67元/克
106,甲基苯丙胺,甲基苯丙胺200.00元/1.0克|甲基苯丙胺1.00袋/17.85克|冰毒2.00小/1.0克|冰毒2.00小/19.6克|冰毒2.00小/2.0小包|冰毒200.00元/1.0克,甲基苯丙胺200.00元/克|甲基苯丙胺0.06袋/克|冰毒2.00小/克|冰毒0.10小/克|冰毒1.00小/小包|冰毒200.00元/克
107,冰毒,冰毒100.00元/0.3克,冰毒333.33元/克
108,甲基苯丙胺,甲基苯丙胺850.00元/2.0克,甲基苯丙胺425.00元/克
109,甲基苯丙胺,甲基苯丙胺300.00元/0.5克,甲基苯丙胺600.00元/克
110,甲基苯丙胺,甲基苯丙胺300.00元/0.7克|甲基苯丙胺300.00元/0.4克|甲基苯丙胺200.00元/0.5克,甲基苯丙胺428.57元/克|甲基苯丙胺750.00元/克|甲基苯丙胺400.00元/克
111,甲基苯丙胺,甲基苯丙胺900.00元/0.86克|甲基苯丙胺4232.00元/0.86克,甲基苯丙胺1046.51元/克|甲基苯丙胺4920.93元/克
112,甲基苯丙胺,甲基苯丙胺3500.00元/23.8克,甲基苯丙胺147.06元/克
113,甲基苯丙胺,甲基苯丙胺200.00元/0.7克,甲基苯丙胺285.71元/克
114,甲基苯丙胺,甲基苯丙胺200.00元/0.3克,甲基苯丙胺666.67元/克
115,甲基苯丙胺,甲基苯丙胺500.00元/1.6克,甲基苯丙胺312.50元/克
116,神秘毒品,xxxxxx,yyyyyy
117,甲基苯丙胺,甲基苯丙胺2000.00元/0.58克,甲基苯丙胺3448.28元/克
118,甲基苯丙胺,甲基苯丙胺900.00元/3.0克,甲基苯丙胺300.00元/克
