drug_id,drug_name,drug_type_quantity_amount,drug_unit_price
119,甲基苯丙胺,甲基苯丙胺300.00元/0.5克,甲基苯丙胺600.00元/克
120,甲基苯丙胺,甲基苯丙胺800.00元/1.0克|冰毒200.00元/1.7克,甲基苯丙胺800.00元/克|冰毒117.65元/克
121,甲基苯丙胺,甲基苯丙胺200.00元/0.5克|甲基苯丙胺200.00元/0.37克,甲基苯丙胺400.00元/克|甲基苯丙胺540.54元/克
122,甲基苯丙胺,甲基苯丙胺100.00元/0.7克,甲基苯丙胺142.86元/克
123,甲基苯丙胺,甲基苯丙胺500.00元/0.5克,甲基苯丙胺1000.00元/克
124,甲基苯丙胺,甲基苯丙胺400.00元/0.7克|甲基苯丙胺400.00元/1.0克|甲基苯丙胺300.00元/1.0克|冰毒60.00元/0.7克|冰毒200.00元/1.0克|冰毒300.00元/1.0克,甲基苯丙胺571.43元/克|甲基苯丙胺400.00元/克|甲基苯丙胺300.00元/克|冰毒85.71元/克|冰毒200.00元/克|冰毒300.00元/克
125,甲基苯丙胺,甲基苯丙胺200.00元/0.18克|甲基苯丙胺500.00元/0.9克,甲基苯丙胺1111.11元/克|甲基苯丙胺555.56元/克
126,甲基苯丙胺,甲基苯丙胺1.006/15.4克,甲基苯丙胺0.066/克
127,冰毒,冰毒300.00元/0.5克|甲基苯丙胺300.00元/0.5克,冰毒600.00元/克|甲基苯丙胺600.00元/克
128,海洛因,海洛因100.00元/0.2克|甲基苯丙胺600.00元/1.2克,海洛因500.00元/克|甲基苯丙胺500.00元/克
129,甲基苯丙胺,甲基苯丙胺300.00元/0.2克,甲基苯丙胺1500.00元/克
130,神秘毒品,xxxxxx,yyyyyy
131,海洛因,海洛因100.00元/0.1克|海洛因300.00元/0.3克|海洛因200.00元/0.2克,海洛因1000.00元/克|海洛因1000.00元/克|海洛因1000.00元/克
132,甲基苯丙胺,甲基苯丙胺400.00元/0.3克|甲基苯丙胺300.00元/0.3克|甲基苯丙胺200.00元/0.16克|甲基苯丙胺1.00包/0.08克,甲基苯丙胺1333.33元/克|甲基苯丙胺1000.00元/克|甲基苯丙胺1250.00元/克|甲基苯丙胺12.50包/克
133,甲基苯丙胺,甲基苯丙胺1000.00元/5.0克|甲基苯丙胺1000.00元/4.0克|甲基苯丙胺700.00元/3.0克,甲基苯丙胺200.00元/克|甲基苯丙胺250.00元/克|甲基苯丙胺233.33元/克
134,甲基苯丙胺,甲基苯丙胺200.00元/0.5克|甲基苯丙胺300.00元/0.8克|甲基苯丙胺280.00元/0.8克|甲基苯丙胺200.00元/0.6克|甲基苯丙胺500.00元/1.5克,甲基苯丙胺400.00元/克|甲基苯丙胺375.00元/克|甲基苯丙胺350.00元/克|甲基苯丙胺333.33元/克|甲基苯丙胺333.33元/克
135,甲基苯丙胺,甲基苯丙胺200.00元/0.5克|甲基苯丙胺300.00元/0.7克,甲基苯丙胺400.00元/克|甲基苯丙胺428.57元/克
136,大麻,大麻600.00元/1.5克,大麻400.00元/克
137,海洛因,海洛因50.00元/0.1克|大麻50.00元/0.1克,海洛因500.00元/克|大麻500.00元/克
138,甲基苯丙胺,甲基苯丙胺400.00元/0.6克|甲基苯丙胺400.00元/0.5克|甲基苯丙胺1.00包/0.33克|甲基苯丙胺3.00包/3.0包,甲基苯丙胺666.67元/克|甲基苯丙胺800.00元/克|甲基苯丙胺3.03包/克|甲基苯丙胺1.00包/包
139,甲基苯丙胺,甲基苯丙胺200.00元/0.3克,甲基苯丙胺666.67元/克
140,神秘毒品,xxxxxx,yyyyyy
141,甲基苯丙胺,甲基苯丙胺200.00元/0.6克|甲基苯丙胺200.00元/0.4克|甲基苯丙胺500.00元/1.0克,甲基苯丙胺333.33元/克|甲基苯丙胺500.00元/克|甲基苯丙胺500.00元/克
142,甲基苯丙胺,甲基苯丙胺800.00元/5.0克|甲基苯丙胺1600.00元/10.0克,甲基苯丙胺160.00元/克|甲基苯丙胺160.00元/克
143,海洛因,海洛因200.00元/0.3克|海洛因100.00元/0.15克|海洛因100.00元/0.18克|海洛因3.00包/0.85克,海洛因666.67元/克|海洛因666.67元/克|海洛因555.56元/克|海洛因3.53包/克
144,甲基苯丙胺,甲基苯丙胺12700.00元/100.0克|冰毒130.00元/20.0克|冰毒200.00元/20.0克|冰毒1.00小/0.8克|冰毒1.00包/20.0克|冰毒130.00包/100.0克|冰毒250.00包/1.0克|冰毒130.00包/1.0克|冰毒300.00元/1.0克|冰毒500.000/3.0克,甲基苯丙胺127.00元/克|冰毒6.50元/克|冰毒10.00元/克|冰毒1.25小/克|冰毒0.05包/克|冰毒1.30包/克|冰毒250.00包/克|冰毒130.00包/克|冰毒300.00元/克|冰毒166.670/克
145,甲基苯丙胺,甲基苯丙胺90.00元/5.0克|甲基苯丙胺50.00元/1.0克|甲基苯丙胺2300.00元/10.0克|甲基苯丙胺1150.00元/5.0克|甲基苯丙胺300.00元/0.8克|冰毒2300.00元/1.0克|冰毒1150.00元/5.0克|冰毒1.00包/5.0克|冰毒600.00包/1.0克|冰毒1150.00包/15.0克|冰毒90.00包/5.0克|冰毒100.00包/5.0克|冰毒50.00包/1.0克|冰毒200.00包/1.0克|冰毒300.00包/1.0克|甲基苯丙胺1.00包/1.0包,甲基苯丙胺18.00元/克|甲基苯丙胺50.00元/克|甲基苯丙胺230.00元/克|甲基苯丙胺230.00元/克|甲基苯丙胺375.00元/克|冰毒2300.00元/克|冰毒230.00元/克|冰毒0.20包/克|冰毒600.00包/克|冰毒76.67包/克|冰毒18.00包/克|冰毒20.00包/克|冰毒50.00包/克|冰毒200.00包/克|冰毒300.00包/克|甲基苯丙胺1.00包/包
146,甲基苯丙胺,甲基苯丙胺10000.00元/3.38克|甲基苯丙胺2400.00元/13.5克|甲基苯丙胺1600.00元/4.63克|甲基苯丙胺300.00元/0.3克|甲基苯丙胺350.00元/0.9克|甲基苯丙胺100.00元/0.4克|甲基苯丙胺300.00元/1.2克|冰毒2400.00元/14.0克|冰毒1800.00元/1.0包|冰毒800.00元/6.0克|冰毒180.00元/4.7克|冰毒500.00元/9.0克|冰毒200.00元/1.6克|冰毒1400.00元/9.0克|冰毒300.00元/0.1克|冰毒350.00元/0.9克|冰毒300.00元/2.0包|冰毒200.00元/1.0包|冰毒200.00元/0.8克|冰毒500.00元/2.7克|冰毒100.00元/0.8克|冰毒200.00元/0.5克|冰毒300.00元/1.0克,甲基苯丙胺2958.58元/克|甲基苯丙胺177.78元/克|甲基苯丙胺345.57元/克|甲基苯丙胺1000.00元/克|甲基苯丙胺388.89元/克|甲基苯丙胺250.00元/克|甲基苯丙胺250.00元/克|冰毒171.43元/克|冰毒1800.00元/包|冰毒133.33元/克|冰毒38.30元/克|冰毒55.56元/克|冰毒125.00元/克|冰毒155.56元/克|冰毒3000.00元/克|冰毒388.89元/克|冰毒150.00元/包|冰毒200.00元/包|冰毒250.00元/克|冰毒185.19元/克|冰毒125.00元/克|冰毒400.00元/克|冰毒300.00元/克
147,甲基苯丙胺,甲基苯丙胺1700.00元/8.0克|甲基苯丙胺600.00元/2.3克|甲基苯丙胺1800.00元/9.0克|甲基苯丙胺4100.00元/17.3克|冰毒600.00元/2.5克|冰毒1800.00元/8.0克|冰毒200.00元/0.8克|冰毒1.00包/1.0包|冰毒500.00包/4.0克|冰毒100.00包/4.0克|冰毒1600.00包/4.0克|冰毒200.00元/2.3克|冰毒180.00元/9.0克|冰毒160.00元/1.0克|冰毒1.00块/1.0块|冰毒250.00元/7.0克,甲基苯丙胺212.50元/克|甲基苯丙胺260.87元/克|甲基苯丙胺200.00元/克|甲基苯丙胺236.99元/克|冰毒240.00元/克|冰毒225.00元/克|冰毒250.00元/克|冰毒1.00包/包|冰毒125.00包/克|冰毒25.00包/克|冰毒400.00包/克|冰毒86.96元/克|冰毒20.00元/克|冰毒160.00元/克|冰毒1.00块/块|冰毒35.71元/克
148,甲基苯丙胺,甲基苯丙胺300.00元/0.4克|甲基苯丙胺260.00元/0.4克|甲基苯丙胺200.00元/0.3克|甲基苯丙胺500.00元/0.7克|甲基苯丙胺230.00元/0.7克|甲基苯丙胺400.00元/0.6克|甲基苯丙胺250.00元/0.4克|甲基苯丙胺300.00元/0.38克|甲基苯丙胺1600.00元/2.8克|甲基苯丙胺1900.00元/0.08克|冰毒400.00元/1.0小包|冰毒300.00元/0.4克|冰毒30.00元/0.4克|冰毒30.00元/1.2克|冰毒230.00元/0.7克|冰毒100.00元/0.4克|冰毒150.00元/1.0袋|冰毒300.00元/1.0小包|冰毒400.00元/2.0包|冰毒2.00包/2.0包|冰毒800.00包/2.0包|冰毒1700.00包/0.7克|冰毒1900.00包/2.1克|冰毒1200.00包/2.0包|冰毒2.00小/2.0小包|冰毒100.00小/1.0粒|冰毒1.00包/0.3克|冰毒300.00元/1.0包|冰毒50.00元/1.0包|冰毒300.00元/0.6克|冰毒300.00元/0.3克|冰毒200.00元/0.3克|冰毒300.00元/0.5克,甲基苯丙胺750.00元/克|甲基苯丙胺650.00元/克|甲基苯丙胺666.67元/克|甲基苯丙胺714.29元/克|甲基苯丙胺328.57元/克|甲基苯丙胺666.67元/克|甲基苯丙胺625.00元/克|甲基苯丙胺789.47元/克|甲基苯丙胺571.43元/克|甲基苯丙胺23750.00元/克|冰毒400.00元/小包|冰毒750.00元/克|冰毒75.00元/克|冰毒25.00元/克|冰毒328.57元/克|冰毒250.00元/克|冰毒150.00元/袋|冰毒300.00元/小包|冰毒200.00元/包|冰毒1.00包/包|冰毒400.00包/包|冰毒2428.57包/克|冰毒904.76包/克|冰毒600.00包/包|冰毒1.00小/小包|冰毒100.00小/粒|冰毒3.33包/克|冰毒300.00元/包|冰毒50.00元/包|冰毒500.00元/克|冰毒1000.00元/克|冰毒666.67元/克|冰毒600.00元/克
149,甲基苯丙胺,甲基苯丙胺500.00元/0.3克,甲基苯丙胺1666.67元/克
150,海洛因,海洛因1600.00元/0.61克|海洛因300.00元/1.75克|海洛因1226.00元/0.61克|海洛因800.00元/0.8克,海洛因2622.95元/克|海洛因171.43元/克|海洛因2009.84元/克|海洛因1000.00元/克
151,神秘毒品,xxxxxx,yyyyyy
152,甲基苯丙胺,甲基苯丙胺100.00元/0.2克|甲基苯丙胺300.00元/0.6克|甲基苯丙胺200.00元/0.31克|甲基苯丙胺290.00元/3.45克,甲基苯丙胺500.00元/克|甲基苯丙胺500.00元/克|甲基苯丙胺645.16元/克|甲基苯丙胺84.06元/克
153,甲基苯丙胺,甲基苯丙胺1600.00元/2.0克|甲基苯丙胺400.00元/0.5克|冰毒400.00元/0.7克|冰毒1.00小/1.0小袋|冰毒2000.00元/5.0克|冰毒400.00元/0.6克,甲基苯丙胺800.00元/克|甲基苯丙胺800.00元/克|冰毒571.43元/克|冰毒1.00小/小袋|冰毒400.00元/克|冰毒666.67元/克
154,神秘毒品,xxxxxx,yyyyyy
155,神秘毒品,xxxxxx,yyyyyy
156,甲基苯丙胺,甲基苯丙胺2000.00元/10.0克|甲基苯丙胺2100.00元/0.24克|甲基苯丙胺4000.00元/20.0克|甲基苯丙胺8100.00元/79.98克|冰毒3.00粒/10.0克|冰毒2000.00元/10.0克|冰毒4000.00元/20.0克|甲基苯丙胺500.00元/0.08克|甲基苯丙胺200.00元/0.8克|甲基苯丙胺400.00元/0.08克|甲基苯丙胺400.00元/0.8克|甲基苯丙胺2400.00元/10.27克|冰毒1.00小/1.0小袋|冰毒1.00小/1.0克|冰毒500.00元/0.8克|冰毒300.00元/0.8克,甲基苯丙胺200.00元/克|甲基苯丙胺8750.00元/克|甲基苯丙胺200.00元/克|甲基苯丙胺101.28元/克|冰毒0.30粒/克|冰毒200.00元/克|冰毒200.00元/克|甲基苯丙胺6250.00元/克|甲基苯丙胺250.00元/克|甲基苯丙胺5000.00元/克|甲基苯丙胺500.00元/克|甲基苯丙胺233.69元/克|冰毒1.00小/小袋|冰毒1.00小/克|冰毒625.00元/克|冰毒375.00元/克
157,甲基苯丙胺,甲基苯丙胺1500.00元/1.0克|甲基苯丙胺3400.00元/3.6克|甲基苯丙胺900.00元/1.0克|甲基苯丙胺1700.00元/2.1克|甲基苯丙胺1700.00元/1.8克|甲基苯丙胺600.00元/0.7克|甲基苯丙胺699.00元/1.0克|甲基苯丙胺400.00元/0.5克|甲基苯丙胺1350.00元/2.1克|甲基苯丙胺450.00元/0.6克|甲基苯丙胺1800.00元/4.0克|甲基苯丙胺1900.00元/4.0克|甲基苯丙胺400.00元/0.3克|甲基苯丙胺250.00元/0.3克|甲基苯丙胺300.00元/0.5克|甲基苯丙胺450.00元/0.7克|甲基苯丙胺400.00元/0.7克|甲基苯丙胺700.00元/1.0克|甲基苯丙胺200.00元/0.5克|冰毒1.00包/4.0克|冰毒200.00包/4.0克|冰毒1.00包/0.6克|冰毒3.00包/0.7克|冰毒1.00包/0.5克|冰毒1.00包/1.0克|冰毒1.00包/0.7克|冰毒1.00包/0.8克|冰毒1.00包/0.4克|冰毒600.00包/0.7克|冰毒400.00包/0.4克|冰毒250.00包/0.3克|冰毒300.00包/0.5克|冰毒450.00包/0.7克|冰毒400.00包/0.7克|冰毒480.00包/1.0克|冰毒200.00包/0.5克|冰毒400.00元/1.14克|冰毒5100.00元/1.0克|冰毒1700.00元/0.6克|冰毒550.00元/0.5克|冰毒1700.00元/0.7克|冰毒3400.00元/0.6克|冰毒1500.00元/0.5克,甲基苯丙胺1500.00元/克|甲基苯丙胺944.44元/克|甲基苯丙胺900.00元/克|甲基苯丙胺809.52元/克|甲基苯丙胺944.44元/克|甲基苯丙胺857.14元/克|甲基苯丙胺699.00元/克|甲基苯丙胺800.00元/克|甲基苯丙胺642.86元/克|甲基苯丙胺750.00元/克|甲基苯丙胺450.00元/克|甲基苯丙胺475.00元/克|甲基苯丙胺1333.33元/克|甲基苯丙胺833.33元/克|甲基苯丙胺600.00元/克|甲基苯丙胺642.86元/克|甲基苯丙胺571.43元/克|甲基苯丙胺700.00元/克|甲基苯丙胺400.00元/克|冰毒0.25包/克|冰毒50.00包/克|冰毒1.67包/克|冰毒4.29包/克|冰毒2.00包/克|冰毒1.00包/克|冰毒1.43包/克|冰毒1.25包/克|冰毒2.50包/克|冰毒857.14包/克|冰毒1000.00包/克|冰毒833.33包/克|冰毒600.00包/克|冰毒642.86包/克|冰毒571.43包/克|冰毒480.00包/克|冰毒400.00包/克|冰毒350.88元/克|冰毒5100.00元/克|冰毒2833.33元/克|冰毒1100.00元/克|冰毒2428.57元/克|冰毒5666.67元/克|冰毒3000.00元/克
158,甲基苯丙胺,甲基苯丙胺1000.00元/0.5克|甲基苯丙胺10000.00元/40.0克|甲基苯丙胺2400.00元/10.0克|甲基苯丙胺700.00元/1.2克|甲基苯丙胺35000.00元/8.0克|甲基苯丙胺750.00元/2.5克|甲基苯丙胺4700.00元/25.0克|甲基苯丙胺300.00元/0.7克|甲基苯丙胺700.00元/1.6克|冰毒2400.00元/10.0克|冰毒7000.00元/43.0克|冰毒16000.00元/1.0克|冰毒2500.00元/5.0克|冰毒130.00元/20.0克|冰毒10000.00元/50.0克|冰毒700.00元/2.0克|冰毒10000.00元/100.0克|冰毒1300.00元/0.9克|冰毒750.00元/2.5克|冰毒1500.00元/17.0克|冰毒4000.00元/1.0克|冰毒1400.00元/16.0克|冰毒1000.00元/0.5克|冰毒300.00元/1.0包|冰毒1800.00元/3.5克|冰毒2000.00元/48.0粒|冰毒700.00元/1.2克|冰毒1000.00元/0.8克|冰毒1.00包/1.0包|冰毒500.00包/1.0克|冰毒700.00包/26.0包|冰毒2.006/85.07克,甲基苯丙胺2000.00元/克|甲基苯丙胺250.00元/克|甲基苯丙胺240.00元/克|甲基苯丙胺583.33元/克|甲基苯丙胺4375.00元/克|甲基苯丙胺300.00元/克|甲基苯丙胺188.00元/克|甲基苯丙胺428.57元/克|甲基苯丙胺437.50元/克|冰毒240.00元/克|冰毒162.79元/克|冰毒16000.00元/克|冰毒500.00元/克|冰毒6.50元/克|冰毒200.00元/克|冰毒350.00元/克|冰毒100.00元/克|冰毒1444.44元/克|冰毒300.00元/克|冰毒88.24元/克|冰毒4000.00元/克|冰毒87.50元/克|冰毒2000.00元/克|冰毒300.00元/包|冰毒514.29元/克|冰毒41.67元/粒|冰毒583.33元/克|冰毒1250.00元/克|冰毒1.00包/包|冰毒500.00包/克|冰毒26.92包/包|冰毒0.026/克
159,神秘毒品,xxxxxx,yyyyyy
160,神秘毒品,xxxxxx,yyyyyy
161,神秘毒品,xxxxxx,yyyyyy
162,甲基苯丙胺,甲基苯丙胺500.00元/1.0小袋|冰毒500.00元/1.0小包,甲基苯丙胺500.00元/小袋|冰毒500.00元/小包
163,甲基苯丙胺,甲基苯丙胺2000.00元/9.27克|甲基苯丙胺600.00元/1.4克|甲基苯丙胺900.00元/2.1克|甲基苯丙胺500.00元/0.92克|甲基苯丙胺500.00元/4.85克|冰毒50.00元/10.0粒,甲基苯丙胺215.75元/克|甲基苯丙胺428.57元/克|甲基苯丙胺428.57元/克|甲基苯丙胺543.48元/克|甲基苯丙胺103.09元/克|冰毒5.00元/粒
164,甲基苯丙胺,甲基苯丙胺400.00元/1.0包|甲基苯丙胺400.00元/0.62克|甲基苯丙胺1.00包/0.63克|冰毒400.00元/3.0包,甲基苯丙胺400.00元/包|甲基苯丙胺645.16元/克|甲基苯丙胺1.59包/克|冰毒133.33元/包
165,神秘毒品,xxxxxx,yyyyyy
166,甲基苯丙胺,甲基苯丙胺2500.00元/1.0包|冰毒400.00元/1.0小包|冰毒2500.00元/1.0包,甲基苯丙胺2500.00元/包|冰毒400.00元/小包|冰毒2500.00元/包
167,神秘毒品,xxxxxx,yyyyyy
168,甲基苯丙胺,甲基苯丙胺420.00元/0.46克,甲基苯丙胺913.04元/克
169,甲基苯丙胺,甲基苯丙胺2400.00元/3.0克|甲基苯丙胺1000.00元/1.2克|甲基苯丙胺500.00元/0.6克|甲基苯丙胺900.00元/1.2克,甲基苯丙胺800.00元/克|甲基苯丙胺833.33元/克|甲基苯丙胺833.33元/克|甲基苯丙胺750.00元/克
170,甲基苯丙胺,甲基苯丙胺600.00元/2.0克|甲基苯丙胺600.00元/1.0克,甲基苯丙胺300.00元/克|甲基苯丙胺600.00元/克
171,神秘毒品,xxxxxx,yyyyyy
172,甲基苯丙胺,甲基苯丙胺2100.00元/1.8克|甲基苯丙胺2100.00元/2.4克|甲基苯丙胺400.00元/0.3克|甲基苯丙胺300.00元/0.3克|甲基苯丙胺1800.00元/2.1克,甲基苯丙胺1166.67元/克|甲基苯丙胺875.00元/克|甲基苯丙胺1333.33元/克|甲基苯丙胺1000.00元/克|甲基苯丙胺857.14元/克
173,甲基苯丙胺,甲基苯丙胺7100.00元/150.0克|甲基苯丙胺9.00包/67.62克|冰毒10600.00元/150.0克|冰毒10600.00元/70.0克,甲基苯丙胺47.33元/克|甲基苯丙胺0.13包/克|冰毒70.67元/克|冰毒151.43元/克
